category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
ATP,2011-11-08-Berdych T-Verdasco F,Berdych T.,1.32,Verdasco F.,3.31,2:0,hard,2011-11-08 10:10,ATP Paris 2011,1
ATP,2011-11-08-Fognini F-Dodig I,Fognini F.,2.54,Dodig I.,1.49,1:2,hard,2011-11-08 10:10,ATP Paris 2011,2
ATP,2011-11-08-Nishikori K-Stakhovsky S,Nishikori K.,1.4,Stakhovsky S.,2.88,0:2,hard,2011-11-08 12:30,ATP Paris 2011,2
ATP,2011-11-08-Llodra M-Lopez F,Llodra M.,1.66,Lopez F.,2.13,0:2,hard,2011-11-08 12:30,ATP Paris 2011,2
ATP,2011-11-08-Roddick A-Benneteau J,Roddick A.,1.53,Benneteau J.,2.47,2:0,hard,2011-11-08 14:30,ATP Paris 2011,1
ATP,2011-11-08-Wawrinka S-Isner J,Wawrinka S.,1.58,Isner J.,2.3,1:2,hard,2011-11-08 15:30,ATP Paris 2011,2
ATP,2011-11-08-Monaco J-Young D,Monaco J.,1.79,Young D.,1.97,2:0,hard,2011-11-08 18:40,ATP Paris 2011,1
ATP,2011-11-08-Garcia-Lopez G-Tsonga J-W,Garcia-Lopez G.,5.85,Tsonga J-W.,1.12,0:2,hard,2011-11-08 18:40,ATP Paris 2011,2
ATP,2011-11-08-Gasquet R-Anderson K,Gasquet R.,1.97,Anderson K.,1.79,2:0,hard,2011-11-08 20:45,ATP Paris 2011,1
ATP,2011-11-09-Ferrer D-Mahut N,Ferrer D.,1.28,Mahut N.,3.6,2:0,hard,2011-11-09 09:40,ATP Paris 2011,1
ATP,2011-11-09-Bogomolov A-Tipsarevic J,Bogomolov A. Jr,3.59,Tipsarevic J.,1.28,0:2,hard,2011-11-09 10:15,ATP Paris 2011,2
ATP,2011-11-09-Stakhovsky S-Troicki V,Stakhovsky S.,2.63,Troicki V.,1.46,0:2,hard,2011-11-09 11:25,ATP Paris 2011,2
ATP,2011-11-09-Chardy J-Murray A,Chardy J.,8.5,Murray A.,1.07,0:2,hard,2011-11-09 11:35,ATP Paris 2011,2
